id,treatment,task,task_order,correct,sql_issues
2,traditional,pretest,none,yes,no
2,traditional,post-test,latter,yes,no
2,strategy,pretest,none,yes,no
2,strategy,post-test,latter,no,no
3,strategy,pretest,none,no,no
3,strategy,post-test,first,no,no
3,traditional,pretest,none,no,no
3,traditional,post-test,first,no,no
4,traditional,pretest,none,yes,no
4,traditional,post-test,latter,yes,no
4,strategy,pretest,none,no,no
4,strategy,post-test,latter,yes,no
5,traditional,pretest,none,yes,no
5,traditional,post-test,latter,yes,yes
5,strategy,pretest,none,yes,no
5,strategy,post-test,latter,yes,yes
6,traditional,pretest,none,yes,no
6,traditional,post-test,latter,yes,no
6,strategy,pretest,none,yes,no
6,strategy,post-test,latter,no,no
7,strategy,pretest,none,no,no
7,strategy,post-test,first,no,no
7,traditional,pretest,none,no,no
7,traditional,post-test,first,yes,yes
8,traditional,pretest,none,yes,no
8,traditional,post-test,latter,yes,no
8,strategy,pretest,none,no,no
8,strategy,post-test,latter,no,no
9,traditional,pretest,none,no,no
9,traditional,post-test,latter,yes,no
9,strategy,pretest,none,no,no
9,strategy,post-test,latter,yes,no
10,strategy,pretest,none,yes,no
10,strategy,post-test,first,yes,no
10,traditional,pretest,none,yes,no
10,traditional,post-test,first,yes,no
11,traditional,pretest,none,yes,no
11,traditional,post-test,latter,yes,no
11,strategy,pretest,none,no,no
11,strategy,post-test,latter,yes,no
12,traditional,pretest,none,yes,no
12,traditional,post-test,latter,yes,no
12,strategy,pretest,none,yes,no
12,strategy,post-test,latter,yes,no
13,strategy,pretest,none,no,no
13,strategy,post-test,first,no,no
13,traditional,pretest,none,yes,no
13,traditional,post-test,first,yes,no
14,strategy,pretest,none,yes,no
14,strategy,post-test,first,yes,no
14,traditional,pretest,none,yes,no
14,traditional,post-test,first,yes,no
15,strategy,pretest,none,no,no
15,strategy,post-test,first,no,no
15,traditional,pretest,none,no,no
15,traditional,post-test,first,yes,yes
16,traditional,pretest,none,no,no
16,traditional,post-test,latter,yes,yes
16,strategy,pretest,none,no,no
16,strategy,post-test,latter,no,no
17,strategy,pretest,none,no,no
17,strategy,post-test,first,no,no
17,traditional,pretest,none,yes,no
17,traditional,post-test,first,no,no
18,traditional,pretest,none,yes,no
18,traditional,post-test,latter,yes,no
18,strategy,pretest,none,no,no
18,strategy,post-test,latter,no,no
19,traditional,pretest,none,yes,no
19,traditional,post-test,latter,yes,no
19,strategy,pretest,none,yes,no
19,strategy,post-test,latter,yes,no
20,strategy,pretest,none,no,no
20,strategy,post-test,first,no,no
20,traditional,pretest,none,yes,no
20,traditional,post-test,first,yes,no
