id;age;genre;languages;languages_category;java_fluency;java_fluency_category;modify;experience;work;patterns
2;22;female;3;three;1;basic;yes;2 a 5 years;no;no
3;31;male;4;four;2;basic;yes;2 a 5 years;no;no
4;20;male;3;three;3;intermediary;yes;2 a 5 years;no;yes
5;22;male;4;four;4;expert;yes;2 a 5 years;yes;yes
6;21;male;9;six;5;expert;yes;2 a 5 years;yes;yes
7;24;female;3;three;2;basic;yes;2 a 5 years;no;no
8;30;male;11;six;2;basic;yes;2 a 5 years;yes;yes
9;21;male;3;three;2;basic;yes;2 a 5 years;no;no
10;22;male;3;three;3;intermediary;yes;6 a 10 years;no;yes
11;25;male;7;six;4;expert;yes;2 a 5 years;no;no
12;22;male;6;six;3;intermediary;yes;6 a 10 years;yes;no
13;29;female;4;four;3;intermediary;yes;2 a 5 years;no;yes
14;20;male;4;four;4;expert;yes;2 a 5 years;yes;yes
15;21;male;6;six;3;intermediary;yes;2 a 5 years;yes;no
16;20;male;3;three;3;intermediary;yes;1 a 2 years;no;no
17;24;male;4;four;4;expert;yes;2 a 5 years;yes;yes
18;21;female;6;six;2;basic;yes;2 a 5 years;no;no
19;22;male;3;three;1;basic;yes;2 a 5 years;no;yes
20;30;male;3;three;2;basic;yes;2 a 5 years;no;yes
